no_municipio_prova,co_municipio_prova,sg_uf_prova,nome_uf_prova,regiao_nome_prova,nota_cn_ciencias_da_natureza,nota_lc_linguagens_e_codigos,nota_mt_matematica,nota_redacao,tp_status_redacao
São Gonçalo do Amarante,2412005,RN,Rio Grande do Norte ,Nordeste    ,408.1,551.6,448.4,560.0,Sem problemas                                     
Piracicaba,3538709,SP,São Paulo           ,Sudeste     ,550.6,540.2,647.3,660.0,Sem problemas                                     
Propriá,2805703,SE,Sergipe             ,Nordeste    ,535.9,492.2,604.5,600.0,Sem problemas                                     
Parobé,4314050,RS,Rio Grande do Sul   ,Sul         ,,492.3,,660.0,Sem problemas                                     
Boquira,2904100,BA,Bahia               ,Nordeste    ,399.9,471.7,463.9,520.0,Sem problemas                                     
Campo Verde,5102678,MT,Mato Grosso         ,Centro-Oeste,435.2,536.7,471.3,600.0,Sem problemas                                     
São Luís,2111300,MA,Maranhão            ,Nordeste    ,,,,,Missing - Sem informação                          
Caxias do Sul,4305108,RS,Rio Grande do Sul   ,Sul         ,420.0,408.5,409.3,680.0,Sem problemas                                     
Porto Calvo,2707305,AL,Alagoas             ,Nordeste    ,,,,,Missing - Sem informação                          
Recife,2611606,PE,Pernambuco          ,Nordeste    ,,571.1,,460.0,Sem problemas                                     
Belém,1501402,PA,Pará                ,Norte       ,444.0,411.8,394.9,660.0,Sem problemas                                     
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,591.6,575.7,687.3,940.0,Sem problemas                                     
Monteiro,2509701,PB,Paraíba             ,Nordeste    ,,,,,Missing - Sem informação                          
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,590.3,541.0,685.8,560.0,Sem problemas                                     
São Sebastião,3550704,SP,São Paulo           ,Sudeste     ,388.1,451.9,412.0,620.0,Sem problemas                                     
Maracanã,1504307,PA,Pará                ,Norte       ,438.3,550.7,508.1,640.0,Sem problemas                                     
Eunápolis,2910727,BA,Bahia               ,Nordeste    ,530.9,525.6,403.8,620.0,Sem problemas                                     
Ribeirão Preto,3543402,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,538.5,,700.0,Sem problemas                                     
Santa Maria,4316907,RS,Rio Grande do Sul   ,Sul         ,397.0,520.4,394.8,480.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,597.9,564.8,623.3,900.0,Sem problemas                                     
Paulistana,2207801,PI,Piauí               ,Nordeste    ,,,,,Missing - Sem informação                          
São Gonçalo,3304904,RJ,Rio de Janeiro      ,Sudeste     ,,504.0,,460.0,Sem problemas                                     
Votuporanga,3557105,SP,São Paulo           ,Sudeste     ,444.3,475.5,389.8,620.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,527.9,489.8,413.7,360.0,Sem problemas                                     
Oliveira,3145604,MG,Minas Gerais        ,Sudeste     ,529.0,539.9,586.5,580.0,Sem problemas                                     
Campo Grande,5002704,MS,Mato Grosso do Sul  ,Centro-Oeste,594.2,601.5,703.7,880.0,Sem problemas                                     
Jacobina,2917508,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Hortolândia,3519071,SP,São Paulo           ,Sudeste     ,584.4,596.1,656.2,540.0,Sem problemas                                     
São José do Egito,2613602,PE,Pernambuco          ,Nordeste    ,495.1,583.6,669.7,880.0,Sem problemas                                     
Rio Verde,5218805,GO,Goiás               ,Centro-Oeste,437.0,510.5,386.5,380.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,,,,,Missing - Sem informação                          
São Luís,2111300,MA,Maranhão            ,Nordeste    ,413.0,437.0,385.0,540.0,Sem problemas                                     
Sousa,2516201,PB,Paraíba             ,Nordeste    ,429.2,532.1,550.8,560.0,Sem problemas                                     
Timbiras,2112100,MA,Maranhão            ,Nordeste    ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Barra da Estiva,2902807,BA,Bahia               ,Nordeste    ,373.6,463.8,425.6,380.0,Sem problemas                                     
Osasco,3534401,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Uauá,2932002,BA,Bahia               ,Nordeste    ,482.5,542.5,529.1,640.0,Sem problemas                                     
Santarém,1506807,PA,Pará                ,Norte       ,446.9,424.8,388.5,520.0,Sem problemas                                     
Três Pontas,3169406,MG,Minas Gerais        ,Sudeste     ,533.5,535.7,628.1,800.0,Sem problemas                                     
Osório,4313508,RS,Rio Grande do Sul   ,Sul         ,702.7,652.7,767.7,940.0,Sem problemas                                     
Três de Maio,4321808,RS,Rio Grande do Sul   ,Sul         ,631.7,659.3,743.5,880.0,Sem problemas                                     
Catalão,5205109,GO,Goiás               ,Centro-Oeste,622.2,556.2,685.8,680.0,Sem problemas                                     
Montes Claros,3143302,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Santa Maria,4316907,RS,Rio Grande do Sul   ,Sul         ,,563.8,,0.0,Em Branco                                         
Rio Negrinho,4215000,SC,Santa Catarina      ,Sul         ,436.2,451.3,502.2,820.0,Sem problemas                                     
São Gonçalo,3304904,RJ,Rio de Janeiro      ,Sudeste     ,426.1,546.5,406.4,520.0,Sem problemas                                     
São José dos Pinhais,4125506,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Jaguaribe,2306900,CE,Ceará               ,Nordeste    ,,,,,Missing - Sem informação                          
Pinhais,4119152,PR,Paraná              ,Sul         ,496.0,519.2,439.4,860.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,376.2,513.6,414.4,500.0,Sem problemas                                     
Parelhas,2408904,RN,Rio Grande do Norte ,Nordeste    ,511.2,557.0,689.9,920.0,Sem problemas                                     
Teresina,2211001,PI,Piauí               ,Nordeste    ,443.4,549.3,636.8,560.0,Sem problemas                                     
Breves,1501808,PA,Pará                ,Norte       ,,455.6,,600.0,Sem problemas                                     
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,556.2,576.7,822.3,760.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,520.0,606.9,553.5,760.0,Sem problemas                                     
Igarapé-Miri,1503309,PA,Pará                ,Norte       ,463.9,455.3,441.6,580.0,Sem problemas                                     
Januária,3135209,MG,Minas Gerais        ,Sudeste     ,536.5,505.9,653.4,880.0,Sem problemas                                     
Ibitinga,3519600,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Manaus,1302603,AM,Amazonas            ,Norte       ,463.4,503.7,406.8,460.0,Sem problemas                                     
São João del Rei,3162500,MG,Minas Gerais        ,Sudeste     ,384.9,491.9,471.2,400.0,Sem problemas                                     
Mocajuba,1504604,PA,Pará                ,Norte       ,408.9,350.5,523.8,0.0,Em Branco                                         
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Sarandi,4126256,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Nova Venécia,3203908,ES,Espírito Santo      ,Sudeste     ,,,,,Missing - Sem informação                          
Campina Grande,2504009,PB,Paraíba             ,Nordeste    ,,,,,Missing - Sem informação                          
Ananindeua,1500800,PA,Pará                ,Norte       ,549.9,625.6,598.9,780.0,Sem problemas                                     
Santarém,1506807,PA,Pará                ,Norte       ,406.3,400.4,397.1,560.0,Sem problemas                                     
Pederneiras,3536703,SP,São Paulo           ,Sudeste     ,442.6,540.2,454.7,640.0,Sem problemas                                     
Barão de Grajaú,2101509,MA,Maranhão            ,Nordeste    ,398.9,535.8,484.5,720.0,Sem problemas                                     
Esteio,4307708,RS,Rio Grande do Sul   ,Sul         ,465.5,516.4,395.7,620.0,Sem problemas                                     
Campina Grande,2504009,PB,Paraíba             ,Nordeste    ,469.9,535.7,599.0,860.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,485.0,559.7,511.2,680.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,534.8,537.9,388.3,360.0,Sem problemas                                     
Natal,2408102,RN,Rio Grande do Norte ,Nordeste    ,,,,,Missing - Sem informação                          
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,407.9,543.9,450.4,600.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,428.6,457.8,395.7,440.0,Sem problemas                                     
Santo Antônio da Patrulha,4317608,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Oeiras,2207009,PI,Piauí               ,Nordeste    ,515.6,452.8,418.6,420.0,Sem problemas                                     
Presidente Epitácio,3541307,SP,São Paulo           ,Sudeste     ,618.4,577.5,602.0,820.0,Sem problemas                                     
Chapecó,4204202,SC,Santa Catarina      ,Sul         ,,,,,Missing - Sem informação                          
Bragança,1501709,PA,Pará                ,Norte       ,432.1,419.2,461.7,540.0,Sem problemas                                     
São Caetano do Sul,3548807,SP,São Paulo           ,Sudeste     ,589.0,638.7,653.7,700.0,Sem problemas                                     
Redenção,2311603,CE,Ceará               ,Nordeste    ,358.0,461.5,538.6,540.0,Sem problemas                                     
Luziânia,5212501,GO,Goiás               ,Centro-Oeste,364.1,508.6,458.4,880.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,625.3,648.1,691.6,940.0,Sem problemas                                     
Macapá,1600303,AP,Amapá               ,Norte       ,,,,,Missing - Sem informação                          
Salvador,2927408,BA,Bahia               ,Nordeste    ,714.8,624.5,640.4,640.0,Sem problemas                                     
Guarabira,2506301,PB,Paraíba             ,Nordeste    ,427.6,411.3,438.4,580.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,535.4,598.3,645.8,760.0,Sem problemas                                     
Itabira,3131703,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Ipojuca,2607208,PE,Pernambuco          ,Nordeste    ,396.0,478.1,486.3,760.0,Sem problemas                                     
Caxias,2103000,MA,Maranhão            ,Nordeste    ,368.1,519.3,389.3,760.0,Sem problemas                                     
Aracaju,2800308,SE,Sergipe             ,Nordeste    ,,,,,Missing - Sem informação                          
Montes Claros,3143302,MG,Minas Gerais        ,Sudeste     ,542.3,532.0,644.6,620.0,Sem problemas                                     
Porto Alegre,4314902,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,441.6,456.5,535.9,360.0,Sem problemas                                     
Santos,3548500,SP,São Paulo           ,Sudeste     ,453.2,492.5,430.4,500.0,Sem problemas                                     
Brumado,2904605,BA,Bahia               ,Nordeste    ,442.9,517.3,427.0,460.0,Sem problemas                                     
Mauá,3529401,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Jardim,2307106,CE,Ceará               ,Nordeste    ,395.5,359.2,403.5,320.0,Sem problemas                                     
Campos do Jordão,3509700,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Maceió,2704302,AL,Alagoas             ,Nordeste    ,500.4,623.8,598.1,800.0,Sem problemas                                     
Batalha,2201507,PI,Piauí               ,Nordeste    ,485.6,510.9,642.4,740.0,Sem problemas                                     
Itaberaba,2914703,BA,Bahia               ,Nordeste    ,507.5,544.6,500.4,560.0,Sem problemas                                     
Nossa Senhora do Socorro,2804805,SE,Sergipe             ,Nordeste    ,538.0,510.4,604.3,820.0,Sem problemas                                     
Bento Gonçalves,4302105,RS,Rio Grande do Sul   ,Sul         ,436.6,449.6,612.9,580.0,Sem problemas                                     
Santa Cruz do Capibaribe,2612505,PE,Pernambuco          ,Nordeste    ,578.9,621.1,686.4,960.0,Sem problemas                                     
Maricá,3302700,RJ,Rio de Janeiro      ,Sudeste     ,453.3,431.5,410.2,620.0,Sem problemas                                     
Mariana,3140001,MG,Minas Gerais        ,Sudeste     ,406.1,437.0,401.7,600.0,Sem problemas                                     
Recife,2611606,PE,Pernambuco          ,Nordeste    ,,,,,Missing - Sem informação                          
Mossoró,2408003,RN,Rio Grande do Norte ,Nordeste    ,572.1,603.4,470.2,800.0,Sem problemas                                     
Guaraciaba do Norte,2305001,CE,Ceará               ,Nordeste    ,539.4,496.1,384.8,560.0,Sem problemas                                     
Juazeiro do Norte,2307304,CE,Ceará               ,Nordeste    ,,,,,Missing - Sem informação                          
Teresina,2211001,PI,Piauí               ,Nordeste    ,543.3,547.6,626.3,980.0,Sem problemas                                     
Marco,2307809,CE,Ceará               ,Nordeste    ,446.1,456.4,416.1,580.0,Sem problemas                                     
Sousa,2516201,PB,Paraíba             ,Nordeste    ,,,,,Missing - Sem informação                          
Natal,2408102,RN,Rio Grande do Norte ,Nordeste    ,,,,,Missing - Sem informação                          
Belém,1501402,PA,Pará                ,Norte       ,496.1,518.9,463.8,740.0,Sem problemas                                     
Boa Vista,1400100,RR,Roraima             ,Norte       ,,,,,Missing - Sem informação                          
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,461.9,575.1,530.7,840.0,Sem problemas                                     
Mauriti,2308104,CE,Ceará               ,Nordeste    ,383.9,481.2,399.4,620.0,Sem problemas                                     
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,657.6,654.1,720.6,880.0,Sem problemas                                     
Jacareí,3524402,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Criciúma,4204608,SC,Santa Catarina      ,Sul         ,,405.3,,840.0,Sem problemas                                     
Itapema,4208302,SC,Santa Catarina      ,Sul         ,531.0,572.2,394.7,520.0,Sem problemas                                     
Boa Vista,1400100,RR,Roraima             ,Norte       ,478.0,553.9,476.3,640.0,Sem problemas                                     
Baixa Grande,2902609,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Lauro de Freitas,2919207,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Arame,2100956,MA,Maranhão            ,Nordeste    ,,401.3,,0.0,Em Branco                                         
Nova Iguaçu,3303500,RJ,Rio de Janeiro      ,Sudeste     ,494.1,578.9,549.9,720.0,Sem problemas                                     
Porto Alegre,4314902,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Contagem,3118601,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Belém,1501402,PA,Pará                ,Norte       ,499.0,503.5,451.8,840.0,Sem problemas                                     
Guarabira,2506301,PB,Paraíba             ,Nordeste    ,610.4,595.4,753.9,860.0,Sem problemas                                     
Aracaju,2800308,SE,Sergipe             ,Nordeste    ,513.7,528.5,512.9,900.0,Sem problemas                                     
